origin,idx,destination,ground,three_day_select,two_day_air,two_day_air_am,next_day_air_saver,next_day_air,unknown1,unknown2
291,8,005,005,305,205,245,135,105,,
291,9,006,045,-,225,-,-,125,,
291,10,007,045,-,225,-,-,125,,
291,11,009,045,-,225,-,-,125,,
291,12,010,005,305,205,245,135,105,,
291,13,011,005,305,205,245,135,105,,
291,14,012,005,305,205,245,135,105,,
291,15,013,005,305,205,245,135,105,,
291,16,014,005,305,205,245,135,105,,
291,17,015,005,305,205,245,135,105,,
291,18,016,005,305,205,245,135,105,,
291,19,017,005,305,205,245,135,105,,
291,20,018,005,305,205,245,135,105,,
291,21,019,005,305,205,245,135,105,,
291,22,020,005,305,205,245,135,105,,
291,23,021,005,305,205,245,135,105,,
291,24,022,005,305,205,245,135,105,,
291,25,023,005,305,205,245,135,105,,
291,26,024,005,305,205,245,135,105,,
291,27,025,005,305,205,245,135,105,,
291,28,026,005,305,205,245,135,105,,
291,29,027,005,305,205,245,135,105,,
291,30,028,005,305,205,245,135,105,,
291,31,029,005,305,205,245,135,105,,
291,32,030,005,305,205,245,135,105,,
291,33,031,005,305,205,245,135,105,,
291,34,032,005,305,205,245,135,105,,
291,35,033,005,305,205,245,135,105,,
291,36,034,005,305,205,245,135,105,,
291,37,035,005,305,205,245,135,105,,
291,38,036,005,305,205,245,135,105,,
291,39,037,005,305,205,245,135,105,,
291,40,038,005,305,205,245,135,105,,
291,41,039,005,305,205,245,135,105,,
291,42,040,005,305,205,245,135,105,,
291,43,041,005,305,205,245,135,105,,
291,44,042,005,305,205,245,135,105,,
291,45,043,005,305,205,245,135,105,,
291,46,044,005,305,205,245,135,105,,
291,47,045,005,305,205,245,135,105,,
291,48,046,006,306,206,246,136,106,,
291,49,047,006,306,206,246,136,106,,
291,50,048,005,305,205,245,135,105,,
291,51,049,005,305,205,245,135,105,,
291,52,050,005,305,205,245,135,105,,
291,53,051,005,305,205,245,135,105,,
291,54,052,005,305,205,245,135,105,,
291,55,053,005,305,205,245,135,105,,
291,56,054,005,305,205,245,135,105,,
291,57,055,005,305,205,245,135,105,,
291,58,056,005,305,205,245,135,105,,
291,59,057,005,305,205,245,135,105,,
291,60,058,005,305,205,245,135,105,,
291,61,059,005,305,205,245,135,105,,
291,62,060,005,305,205,245,135,105,,
291,63,061,005,305,205,245,135,105,,
291,64,062,005,305,205,245,135,105,,
291,65,063,005,305,205,245,135,105,,
291,66,064,005,305,205,245,135,105,,
291,67,065,005,305,205,245,135,105,,
291,68,066,005,305,205,245,135,105,,
291,69,067,005,305,205,245,135,105,,
291,70,068,005,305,205,245,135,105,,
291,71,069,005,305,205,245,135,105,,
291,72,070,004,304,204,244,134,104,,
291,73,071,004,304,204,244,134,104,,
291,74,072,004,304,204,244,134,104,,
291,75,073,004,304,204,244,134,104,,
291,76,074,004,304,204,244,134,104,,
291,77,075,004,304,204,244,134,104,,
291,78,076,004,304,204,244,134,104,,
291,79,077,004,304,204,244,134,104,,
291,80,078,004,304,204,244,134,104,,
291,81,079,004,304,204,244,134,104,,
291,82,080,004,304,204,244,134,104,,
291,83,081,004,304,204,244,134,104,,
291,84,082,004,304,204,244,134,104,,
291,85,083,004,304,204,244,134,104,,
291,86,084,004,304,204,244,134,104,,
291,87,085,004,304,204,244,134,104,,
291,88,086,004,304,204,244,134,104,,
291,89,087,004,304,204,244,134,104,,
291,90,088,004,304,204,244,134,104,,
291,91,089,004,304,204,244,134,104,,
291,92,100,004,304,204,244,134,104,,
291,93,101,004,304,204,244,134,104,,
291,94,102,004,304,204,244,134,104,,
291,95,103,004,304,204,244,134,104,,
291,96,104,004,304,204,244,134,104,,
291,97,105,005,305,205,245,135,105,,
291,98,106,005,305,205,245,135,105,,
291,99,107,005,305,205,245,135,105,,
291,100,108,005,305,205,245,135,105,,
291,101,109,005,305,205,245,135,105,,
291,102,110,004,304,204,244,134,104,,
291,103,111,004,304,204,244,134,104,,
291,104,112,004,304,204,244,134,104,,
291,105,113,004,304,204,244,134,104,,
291,106,114,005,305,205,245,135,105,,
291,107,115,005,305,205,245,135,105,,
291,108,116,004,304,204,244,134,104,,
291,109,117,005,305,205,245,135,105,,
291,110,118,005,305,205,245,135,105,,
291,111,119,005,305,205,245,135,105,,
291,112,120,005,305,205,245,135,105,,
291,113,121,005,305,205,245,135,105,,
291,114,122,005,305,205,245,135,105,,
291,115,123,005,305,205,245,135,105,,
291,116,124,005,305,205,245,135,105,,
291,117,125,005,305,205,245,135,105,,
291,118,126,005,305,205,245,135,105,,
291,119,127,005,305,205,245,135,105,,
291,120,128,005,305,205,245,135,105,,
291,121,129,005,305,205,245,135,105,,
291,122,130,005,305,205,245,135,105,,
291,123,131,005,305,205,245,135,105,,
291,124,132,005,305,205,245,135,105,,
291,125,133,005,305,205,245,135,105,,
291,126,134,005,305,205,245,135,105,,
291,127,135,005,305,205,245,135,105,,
291,128,136,005,305,205,245,135,105,,
291,129,137,005,305,205,245,135,105,,
291,130,138,005,305,205,245,135,105,,
291,131,139,005,305,205,245,135,105,,
291,132,140,005,305,205,245,135,105,,
291,133,141,005,305,205,245,135,105,,
291,134,142,005,305,205,245,135,105,,
291,135,143,005,305,205,245,135,105,,
291,136,144,005,305,205,245,135,105,,
291,137,145,005,305,205,245,135,105,,
291,138,146,005,305,205,245,135,105,,
291,139,147,004,304,204,244,134,104,,
291,140,148,005,305,205,245,135,105,,
291,141,149,005,305,205,245,135,105,,
291,142,150,004,304,204,244,134,104,,
291,143,151,004,304,204,244,134,104,,
291,144,152,004,304,204,244,134,104,,
291,145,153,004,304,204,244,134,104,,
291,146,154,004,304,204,244,134,104,,
291,147,155,004,304,204,244,134,104,,
291,148,156,004,304,204,244,134,104,,
291,149,157,004,304,204,244,134,104,,
291,150,158,004,304,204,244,134,104,,
291,151,159,004,304,204,244,134,104,,
291,152,160,004,304,204,244,134,104,,
291,153,161,004,304,204,244,134,104,,
291,154,162,004,304,204,244,134,104,,
291,155,163,004,304,204,244,134,104,,
291,156,164,004,304,204,244,134,104,,
291,157,165,004,304,204,244,134,104,,
291,158,166,004,304,204,244,134,104,,
291,159,167,004,304,204,244,134,104,,
291,160,168,004,304,204,244,134,104,,
291,161,169,004,304,204,244,134,104,,
291,162,170,004,304,204,244,134,104,,
291,163,171,004,304,204,244,134,104,,
291,164,172,004,304,204,244,134,104,,
291,165,173,004,304,204,244,134,104,,
291,166,174,004,304,204,244,134,104,,
291,167,175,004,304,204,244,134,104,,
291,168,176,004,304,204,244,134,104,,
291,169,177,004,304,204,244,134,104,,
291,170,178,004,304,204,244,134,104,,
291,171,179,004,304,204,244,134,104,,
291,172,180,004,304,204,244,134,104,,
291,173,181,004,304,204,244,134,104,,
291,174,182,004,304,204,244,134,104,,
291,175,183,004,304,204,244,134,104,,
291,176,184,004,304,204,244,134,104,,
291,177,185,004,304,204,244,134,104,,
291,178,186,004,304,204,244,134,104,,
291,179,187,004,304,204,244,134,104,,
291,180,188,005,305,205,245,135,105,,
291,181,189,004,304,204,244,134,104,,
291,182,190,004,304,204,244,134,104,,
291,183,191,004,304,204,244,134,104,,
291,184,192,004,304,204,244,134,104,,
291,185,193,004,304,204,244,134,104,,
291,186,194,004,304,204,244,134,104,,
291,187,195,004,304,204,244,134,104,,
291,188,196,004,304,204,244,134,104,,
291,189,197,004,304,204,244,134,104,,
291,190,198,004,304,204,244,134,104,,
291,191,199,004,304,204,244,134,104,,
291,192,200,004,304,204,244,134,104,,
291,193,201,004,304,204,244,134,104,,
291,194,202,004,304,204,244,134,104,,
291,195,203,004,304,204,244,134,104,,
291,196,204,004,304,204,244,134,104,,
291,197,205,004,304,204,244,134,104,,
291,198,206,004,304,204,244,134,104,,
291,199,207,004,304,204,244,134,104,,
291,200,208,004,304,204,244,134,104,,
291,201,209,004,304,204,244,134,104,,
291,202,210,004,304,204,244,134,104,,
291,203,211,004,304,204,244,134,104,,
291,204,212,004,304,204,244,134,104,,
291,205,214,004,304,204,244,134,104,,
291,206,215,004,304,204,244,134,104,,
291,207,216,004,304,204,244,134,104,,
291,208,217,004,304,204,244,134,104,,
291,209,218,004,304,204,244,134,104,,
291,210,219,004,304,204,244,134,104,,
291,211,220,004,304,204,244,134,104,,
291,212,221,004,304,204,244,134,104,,
291,213,222,004,304,204,244,134,104,,
291,214,223,004,304,204,244,134,104,,
291,215,224,004,304,204,244,134,104,,
291,216,225,004,304,204,244,134,104,,
291,217,226,004,304,204,244,134,104,,
291,218,227,004,304,204,244,134,104,,
291,219,228,004,304,204,244,134,104,,
291,220,229,004,304,204,244,134,104,,
291,221,230,004,304,204,244,134,104,,
291,222,231,004,304,204,244,134,104,,
291,223,232,004,304,204,244,134,104,,
291,224,233,004,304,204,244,134,104,,
291,225,234,004,304,204,244,134,104,,
291,226,235,004,304,204,244,134,104,,
291,227,236,004,304,204,244,134,104,,
291,228,237,004,304,204,244,134,104,,
291,229,238,004,304,204,244,134,104,,
291,230,239,003,303,203,243,133,103,,
291,231,240,003,303,203,243,133,103,,
291,232,241,003,303,203,243,133,103,,
291,233,242,003,303,203,243,133,103,,
291,234,243,003,303,203,243,133,103,,
291,235,244,004,304,204,244,134,104,,
291,236,245,003,303,203,243,133,103,,
291,237,246,003,303,203,243,133,103,,
291,238,247,003,303,203,243,133,103,,
291,239,248,003,303,203,243,133,103,,
291,240,249,003,303,203,243,133,103,,
291,241,250,003,303,203,243,133,103,,
291,242,251,003,303,203,243,133,103,,
291,243,252,003,303,203,243,133,103,,
291,244,253,003,303,203,243,133,103,,
291,245,254,004,304,204,244,134,104,,
291,246,255,003,303,203,243,133,103,,
291,247,256,003,303,203,243,133,103,,
291,248,257,003,303,203,243,133,103,,
291,249,258,003,303,203,243,133,103,,
291,250,259,003,303,203,243,133,103,,
291,251,260,004,304,204,244,134,104,,
291,252,261,004,304,204,244,134,104,,
291,253,262,004,304,204,244,134,104,,
291,254,263,004,304,204,244,134,104,,
291,255,264,004,304,204,244,134,104,,
291,256,265,004,304,204,244,134,104,,
291,257,266,004,304,204,244,134,104,,
291,258,267,004,304,204,244,134,104,,
291,259,268,004,304,204,244,134,104,,
291,260,270,003,303,203,243,133,103,,
291,261,271,003,303,203,243,133,103,,
291,262,272,003,303,203,243,133,103,,
291,263,273,003,303,203,243,133,103,,
291,264,274,003,303,203,243,133,103,,
291,265,275,003,303,203,243,133,103,,
291,266,276,003,303,203,243,133,103,,
291,267,277,003,303,203,243,133,103,,
291,268,278,003,303,203,243,133,103,,
291,269,279,004,304,204,244,134,104,,
291,270,280,002,302,202,242,132,102,,
291,271,281,002,302,202,242,132,102,,
291,272,282,002,302,202,242,132,102,,
